Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm,TF,UT,SN,Copy,DLD_count,DE_count,Requested
1,"HARLEY, JL; BRIERLEY, JK",A METHOD OF ESTIMATION OF OXYGEN AND CARBON DIOXIDE CONCENTRATIONS IN THE LITTER LAYER OF BEECH WOODS,JOURNAL OF ECOLOGY,41,2,385,387,1953,,2,,,,N,3,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")",,WOS:A1953YD68600015,0022-0477,,0,0,
2,"ZONN, SV; ALESHINA, AK",O GAZOOBMENE MEZHDU POCHVOI I ATMOSFEROI POD POLOGOM LESNYKH NASAZHDENII,DOKLADY AKADEMII NAUK SSSR,92,5,1035,1038,1953,,0,,,,N,3,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")",,WOS:A1953UP95000041,0002-3264,,0,0,
3,"BOLLEN, WB; MORRISON, HE; CROWELL, HH",EFFECT OF FIELD AND LABORATORY TREATMENTS WITH BHC AND DDT ON NITROGEN TRANSFORMATIONS AND SOIL RESPIRATION,JOURNAL OF ECONOMIC ENTOMOLOGY,47,2,307,312,1954,,15,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1954UJ49100024,0022-0493,Nellie,0,0,
4,"STEVENSON, IL; CHASE, FE",MICROBIOLOGICAL STUDIES ON AN ORCHARD SOIL UNDER 3 CULTURAL PRACTICES,CANADIAN JOURNAL OF MICROBIOLOGY,3,2,351,358,1957,,5,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1957WG08500027,0008-4166,,0,0,
5,"MAKAROV, BN",DIURNAL VARIATION OF SOIL RESPIRATION AND CARBONIC ACID GAS CONTENT IN THE SOIL-ADJOINING AIR LAYER,DOKLADY AKADEMII NAUK SSSR,118,2,389,391,1958,,1,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1958WX97600053,0002-3264,Harrison,1,1,
6,"GALSTIAN, AS",THE ACTIVITY OF SOIL ENZYMES AND THE RATE OF SOIL RESPIRATION,DOKLADY AKADEMII NAUK SSSR,127,5,1099,1102,1959,,7,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1959WE59900046,0002-3264,Harrison,2,2,
7,"DROBNIK, J",WARBURG V ESSEL FOR SOIL SAMPLES,NATURE,188,4751,686,686,1960,,5,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1960ZQ13700070,0028-0836,,2,2,
8,"ELKAN, GH; MOORE, WEC","THE EFFECT OF PARTIAL STERILIZATION OF FIELD SOILS BY CHEMICALS UPON DIFFERENTIAL MICROBIAL COUNTS, CO2 ACTIVITY, AND RATES OF ORGANIC MATTER DECOMPOSITION",CANADIAN JOURNAL OF MICROBIOLOGY,6,3,339,347,1960,,4,N,Y,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1960XL44600011,0008-4166,Harrison,3,3,
9,"JENSEN, G",EFFECTS OF TEMPERATURE AND SHIFTS IN TEMPERATURE ON THE RESPIRATION OF INTACT ROOT SYSTEMS,PHYSIOLOGIA PLANTARUM,13,4,822,830,1960,,16,,,10.1111/j.1399-3054.1960.tb08105.x,N,1,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")",,WOS:A1960XL32300022,0031-9317,Valya,3,3,
10,"DROBNIK, J",EFFECT OF TEMPERATURE ON SOIL RESPIRATION,FOLIA BIOLOGICA,7,2,132,&,1962,McKeldin QH301 .F66,16,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A19621668B00004,0015-5500,Nellie,4,4,
11,"GOLLEY, F; ODUM, HT; WILSON, RF",STRUCTURE AND METABOLISM OF A PUERTO-RICAN RED MANGROVE FOREST IN MAY,ECOLOGY,43,1,9,&,1962,,124,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1962B875500009,0012-9658,,5,5,
12,"STEVENSON, IL",EFFECT OF DECOMPOSITION OF VARIOUS CROP PLANTS ON METABOLIC ACTIVITY OF SOIL MICROFLORA,CANADIAN JOURNAL OF MICROBIOLOGY,8,4,501,&,1962,,12,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A19628069A00025,0008-4166,Harrison,6,6,
13,"BANAGE, WB",THE ECOLOGICAL IMPORTANCE OF FREE-LIVING SOIL NEMATODES WITH SPECIAL REFERENCE TO THOSE OF MOORLAND SOIL,JOURNAL OF ANIMAL ECOLOGY,32,1,133,140,1963,,41,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1963WV73100008,0021-8790,,6,6,
14,"Maldague, M.E.; Hilger, F.",Observations fauntistique et microbiologiques dans quelques biotopes forestiers equatoriaux,"Soil organisms (ed: Doeksen, van der Drift)",,,368,374,1963,,,Y,Y,,N,2,9/26/2008,R&S1992,,,,Valya,7,7,
15,"POWELSON, RL; PATIL, SS","INFLUENCE OF OAT AND ALFALFA RESIDUES ON SOIL RESPIRATION, FUNGISTASIS, AND SURVIVAL OF VERTICULLIUM ALBO-ATRUM",PHYTOPATHOLOGY,53,10,1141,&,1963,,8,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A19631814C00049,0031-949X,Valya,8,8,
16,"GREENWOOD, DJ; GOODMAN, D",OXYGEN DIFFUSION + AEROBIC RESPIRATION IN SOIL SPHERES,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,15,8,579,&,1964,,20,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A19647034B00007,0022-5142,Nellie,9,9,
17,Monteith,Crop photosynthesis and the flux of carbon dioxide below the canopy,Journal of Applied Ecology,1,,321,337,1964,,,Y,Y,,N,1,9/26/2008,R&S1992; B-L2004,,,,,10,10,
18,"FLORENCE, RG",DECLINE OF OLD-GROWTH REDWOOD FORESTS IN RELATION TO SOME SOIL MICROBIOLOGICAL PROCESSES,ECOLOGY,46,1-2,52,64,1965,,20,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1965CLA4900005,0012-9658,,10,10,
19,"HINE, RB; TRUJILLO, EE",MANOMETRIC STUDIES ON REDISUE COLONIZATION IN SOIL BY PYTHIUM APHANIDERMATUM AND PHYTOPHTHORA PARASITICA,PHYTOPATHOLOGY,56,3,334,&,1966,,6,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A19667476500019,0031-949X,,10,10,
20,"WITKAMP, M",RATES OF CARBON DIOXIDE EVOLUTION FROM FOREST FLOOR,ECOLOGY,47,3,492,&,1966,,97,Y,Y,,N,1,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")",,WOS:A19668082200018,0012-9658,,11,11,
21,"ZINKLER, D",VERGLEICHENDE UNTERSUCHUNGEN ZUR ATMUNGS-PHYSIOLOGIE VON COLLEMBOLEN (APTERYGOTA) UND ANDEREEN BODENKLEINARTHROPODEN,ZEITSCHRIFT FUR VERGLEICHENDE PHYSIOLOGIE,52,2,99,&,1966,,53,,,,N,3,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")",,WOS:A19667660800001,,,11,11,
22,"CAWSE, PA",EFFECTS OF LOW SUB-STERILISING DOSES OF GAMMA RADIATION ON CARBON NITROGEN AND PHOSPHORUS IN FRESH SOILS,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,18,9,388,&,1967,,11,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1967A012000003,0022-5142,,11,11,
23,"GILBERT, RG; GRIEBEL, GE; MENZIES, JD",INFLUENCE OF VOLATILE SUBSTANCES FROM ALFALFA ON SOIL RESPIRATION AND SURVIVAL OF SOIL FUNGI,PHYTOPATHOLOGY,57,8,812,&,1967,,5,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A19679776700073,0031-949X,Valya,12,12,
24,"Repnevskaya, M.A.",Liberation of CO2 from soil in the pine stands of the Kola peninsula,SOVIET SOIL SCIENCE,1967,,1067,1072,1967,,,Y,Y,,N,1,9/26/2008,R&S1992,,,,,13,13,
25,"RODRIGUE.R; CURL, EA; FUNDERBU.HH",EFFECT OF PARAQUAT ON GROWTH OF SCLEROTIUM ROLFSII IN LIQUID CULTURE AND SOIL,PHYTOPATHOLOGY,57,8,911,&,1967,,25,,,,N,4,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")",,WOS:A19679776700249,0031-949X,,13,13,
26,"SALONIUS, PO; ROBINSON, JB; CHASE, FE",A COMPARISON OF AUTOCLAVED AND GAMMA-IRRADIATED SOILS AS MEDIA FOR MICROBIAL COLONIZATION EXPERIMENTS,PLANT AND SOIL,27,2,239,&,1967,,80,,,,N,4,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1967A284300008,0032-079X,,13,13,
27,"SCHULZE, ED",SOIL RESPIRATION OF TROPICAL VEGETATION TYPES,ECOLOGY,48,4,652,&,1967,,31,Y,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1967A010300017,0012-9658,,14,14,
28,"WIANT, HV",HAS CONTRIBUTION OF LITTER DECAY TO FOREST SOIL RESPIRATION BEEN OVERESTIMATED,JOURNAL OF FORESTRY,65,6,408,&,1967,,26,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A19679498400012,0022-1201,Nellie,15,15,
29,"WIANT, HV",INFLUENCE OF MOISTURE CONTENT ON SOIL RESPIRATION,JOURNAL OF FORESTRY,65,12,902,&,1967,,28,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1967A345600012,0022-1201,Nellie,16,16,
30,"WIANT, HV",INFLUENCE OF TEMPERATURE ON RATE OF SOIL RESPIRATION,JOURNAL OF FORESTRY,65,7,489,&,1967,,45,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A19679663300014,0022-1201,Nellie,17,17,
31,"ABDELMAL.Y; NAGUIB, AI; GUIRGUIS, MA",EFFECT OF ORGANIC MATTER-ADDITIONS ON SOIL RESPIRATION SOIL NITROGEN AND MICROBIAL ACTIVITY,ANNALES DE L INSTITUT PASTEUR,115,4,657,&,1968,Not on shelf-?,2,,,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1968B845400015,,Harrison,17,17,
32,DOMMERGU.Y,SOIL CO2 EVOLUTION ITS MEASURE AND INTERPRETATION - GENERAL REVIEW,ANNALES DE L INSTITUT PASTEUR,115,4,627,&,1968,,16,,,,N,3,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")",,WOS:A1968B845400014,,Harrison,17,17,
33,"FUNKE, BR; HARRIS, JO",EARLY RESPIRATORY RESPONSES OF SOIL TREATED BY HEAT OR DRYING,PLANT AND SOIL,28,1,38,&,1968,,14,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1968A713300004,0032-079X,,18,18,
34,"MEDINA, E",SOIL RESPIRATION AND PRODUCTION OF DRY MATTER IN VARIOUS TROPICAL PLANT COMMUNITIES,BERICHTE DER DEUTSCHEN BOTANISCHEN GESELLSCHAFT,81,5,159,&,1968,,5,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1968B669800001,0365-9631,Harrison,19,19,
35,"REINERS, WA",CARBON DIOXIDE EVOLUTION FROM FLOOR OF 3 MINNESOTA FORESTS,ECOLOGY,49,3,471,&,1968,,141,Y,Y,,N,1,9/26/2008,R&S1992,,WOS:A1968B675800011,0012-9658,,20,20,
36,"Vugakov, P.S.; Popova, Y.E.P.",Carbon dioxide regime in soils of the Krasnoyarsk forest steppe,SOVIET SOIL SCIENCE,1968,,795,801,1968,,,Y,Y,,N,1,9/26/2008,R&S1992,,,,,21,21,
37,"BALICKA, N; SOBIESZC.J",EFFECT OF HERBICIDES ON SOIL MECROFLORA .I. EFFECT ON NUMBER OF SOIL MICROORGANISMS IN A FIELD EXPERIMENT,ACTA MICROBIOLOGICA POLONICA SERIES B-MICROBIOLOGIA APPLICATA,1,1,3,&,1969,,5,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1969D366700001,0001-6195,,21,21,
38,"BARTHA, R",TRANSFORMATION OF SOLAN IN SOIL,WEED SCIENCE,17,4,471,&,1969,,7,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1969E488000021,0043-1745,,21,21,
39,"BROWN, A; MACFADYE.A",SOIL CARBON DIOXIDE OUTPUT AND SMALL-SCALE VEGETATION PATTERN IN A CALLUNA HEATH,OIKOS,20,1,8,&,1969,,12,Y,Y,,N,1,9/26/2008,R&S1992,,WOS:A1969D667600002,0030-1299,,22,22,
40,"Ellis, R.C.",The respiration of the soil beneath some Eucalyptus forest stands as related to the productivity of the stands,Australian Journal of Soil Research,7,3,349,357,1969,,,Y,Y,10.1071/SR9690349 ,N,1,9/26/2008,R&S1992,,,,,23,23,
41,"GILBERT, RG; GRIEBEL, GE",STIMULATION OF SOIL RESPIRATION BY VOLATILES FROM ALFALFA,SOIL SCIENCE SOCIETY OF AMERICA PROCEEDINGS,33,2,270,&,1969,,5,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1969D306400020,,Valya,24,24,
42,"GUIRGUIS, MA; VANCURA, V; KUNC, F",OXIDATION OF PIPECOLIC ACID IN SOILS AND IN RHIZOSPHERE SOIL OF DIFFERENT PLANTS,FOLIA MICROBIOLOGICA,14,1,13,&,1969,,2,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1969C504200002,0015-5632,,24,24,
43,"OWENS, LD; GILBERT, RG; GRIEBEL, GE; MENZIES, JD",IDENTIFICATION OF PLANT VOLATILES THAT STIMULATE MICROBIAL RESPIRATION AND GROWTH IN SOIL,PHYTOPATHOLOGY,59,10,1468,&,1969,,38,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1969E429700039,0031-949X,,24,24,
44,"WITKAMP, M; FRANK, ML","EVOLUTION OF CO2 FROM LITTER, HUMUS, AND SUBSOIL OF A PINE STAND",PEDOBIOLOGIA,9,5-6,358,&,1969,,73,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1969E928500001,0031-4056,Valya,25,25,
45,BALANDREAU J,TECHNIQUE OF PERFUSION IN CONTROLLED CONDITIONS IN VIEW OF THE STUDY OF NITRIFICATION IN FOREST LITTERS,Bulletin des Academie and Societe Lorraines des Sciences,9,1,5,10,1970,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197107005423,0567-6576,,25,25,
46,"CLARK, BW; COLEMAN, DC",A COMPARATIVE STUDY OF EFFECTS OF ACUTE AND CHRONIC GAMMA IRRADIATION ON TOTAL SOIL RESPIRATION,PEDOBIOLOGIA,10,3,199,&,1970,,4,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1970G807200003,0031-4056,,25,25,
47,"IVARSON, KC; SOWDEN, FJ","EFFECT OF FROST ACTION AND STORAGE OF SOIL AT FREEZING TEMPERATURES ON FREE AMINO ACIDS, FREE SUGARS AND RESPIRATORY ACTIVITY OF SOIL",CANADIAN JOURNAL OF SOIL SCIENCE,50,2,191,&,1970,,37,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1970G999800011,0008-4271,Harrison,26,26,
48,JENKINSON D S; POWLSON D S,RESIDUAL EFFECTS OF SOIL FUMIGATION ON SOIL RESPIRATION AND MINERALIZATION,SOIL BIOLOGY & BIOCHEMISTRY,2,2,99,108,1970,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197152005372,0038-0717,,27,27,
49,MACFADYEN A,SIMPLE METHODS FOR MEASURING AND MAINTAINING THE PROPORTION OF CARBON DI OXIDE IN AIR FOR USE IN ECOLOGICAL STUDIES OF SOIL RESPIRATION,Soil Biology and Biochemistry,2,1,9,18,1970,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197051109236,0038-0717,,27,27,
50,"NOVAK, B",EFFECT OF FERTILIZERS ON SOIL RESPIRATION,FOLIA MICROBIOLOGICA,15,3,218,&,1970,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1970G352300095,0015-5632,Nellie,28,28,
51,PHILLIPSON J,PROCEEDINGS OF THE PARIS SYMPOSIUM OF UNESCO AND THE INTERNATIONAL BIOLOGICAL PROGRAM ON METHODS OF STUDY IN SOIL ECOLOGY SECTION ON SOIL RESPIRATION PARIS FRANCE NOVEMBER 1967,"PHILLIPSON J. (EDITED BY). METHODS OF STUDY IN SOIL ECOLOGY. PROCEEDINGS OF THE PARIS SYMPOSIUM ORGANIZED BY UNESCO AND THE INTERNATIONAL BIOLOGICAL PROGRAMME. METHODES D'ETUDE DE L'ECOLOGIE DU SOL. ACTES DU COLLOQUE DE PARIS ORGANISE PAR L'UNESCO ET LE PROGRAMME BIOLOGIQUE INTERNATIONAL. 303P. ILLUS. UNIPUB, INC.: NEW YORK, N.Y., U.S.A",,,167,172,1970,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197107009518,,,28,28,
52,SCHWENKE W; BAUMLER W; KOSCHEL H; MATSCHEK M; ROOMI M-W,THE DISTRIBUTION BIOLOGY AND ECOLOGY OF ENCHYTRAEIDAE LUMBRICIDAE ORIBATIDAE AND OF COLLEMBOLA IN THE SOIL OF CONIFEROUS FORESTS SUSCEPTIBLE AND RESISTANT TO PESTS,Anzeiger fuer Schaedlingskunde und Pflanzenschutz,43,3,33,41,1970,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197152135777,,,28,28,
53,"WANNER, H","SOIL RESPIRATION, LITTER FALL AND PRODUCTIVITY OF TROPICAL RAIN FOREST",JOURNAL OF ECOLOGY,58,2,543,&,1970,,30,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1970H150600016,0022-0477,Nellie,29,29,
54,"WEBB, DP; AGNIHOTR.VP",PRESENCE OF A FUNGAL INHIBITOR IN PERICARPS OF ACER-SACCHARUM FRUITS,CANADIAN JOURNAL OF BOTANY,48,12,2109,&,1970,,2,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1970I408300005,,,29,29,
55,"Woodwell, G.M.; Botkin, D.B.",Metabolism of terrestrial ecosystems by gas exchange techniques: the Brookhaven approach,Analysis of temperate forest ecosystems (ed: Reichle),,,,,1970,,,,,,N,1,9/26/2008,R&S1992,,,,Harrison,29,29,
